sku,product_name,category,price,inventory_count,supplier_id,last_updated
SKU-00001,Deluxe Serum 0,Sports,830.02,239,SUP-0005,2025-11-11
SKU-00002,Vintage Serum 1,Beauty,254.09,85,SUP-0019,2025-11-15
SKU-00003,Premium Novel 2,Electronics,443.09,334,SUP-0023,2025-04-06
SKU-00004,Portable Shirt 3,,451.34,500,SUP-0016,2025-10-02
SKU-00005,Premium Shirt 4,Electronics,325.13,51,SUP-0019,2025-08-09
SKU-00006,Eco-Friendly Shirt 5,Books,498.84,16,SUP-0016,2025-04-27
SKU-00007,Modern Drill 6,Clothing,603.38,21,SUP-0013,2025-08-08
SKU-00008,Modern Serum 7,Clothing,524.98,382,SUP-0011,2025-10-23
SKU-00009,Professional Shirt 8,Toys,211.02,21,SUP-0010,2026-02-06
SKU-00010,Modern Shirt 9,Tools,137.45,331,SUP-0025,2025-06-17
SKU-00011,Portable Drill 10,Home & Garden,126.44,421,SUP-0007,2025-01-17
SKU-00012,Portable Serum 11,Beauty,782.92,208,SUP-0017,2025-07-05
SKU-00013,Wireless Lamp 12,Books,114.76,179,SUP-0018,2025-06-22
SKU-00014,Eco-Friendly Serum 13,Clothing,869.43,200,SUP-0016,2025-06-13
SKU-00015,Classic Vitamin 14,Clothing,797.94,427,SUP-0008,2025-11-19
SKU-00016,Professional Serum 15,Books,114.15,420,SUP-0006,2025-08-17
SKU-00017,Professional Serum 16,Electronics,132.78,43,SUP-0008,2025-12-10
SKU-00018,Classic Vitamin 17,Food,793.39,123,SUP-0011,2025-02-06
SKU-00019,Wireless Shirt 18,Sports,178.77,93,SUP-0005,2025-09-21
SKU-00020,Classic Monitor 19,Home & Garden,330.37,401,SUP-0016,2025-04-18
SKU-00021,Classic Robot 20,,229.98,108,SUP-0020,2025-09-13
SKU-00022,Modern Ball 21,Books,610.9,252,SUP-0023,2026-02-14
SKU-00023,Vintage Lamp 22,Books,883.52,351,SUP-0001,2025-07-28
SKU-00024,Premium Robot 23,Toys,804.14,355,SUP-0015,2025-07-09
SKU-00025,Classic Vitamin 24,Food,944.38,281,SUP-0004,2025-06-17
SKU-00026,Classic Vitamin 25,Home & Garden,593.51,332,SUP-0017,2025-04-23
SKU-00027,Smart Novel 26,,689.92,49,SUP-0021,2025-08-29
SKU-00028,Classic Serum 27,Toys,953.78,276,SUP-0015,2025-06-18
SKU-00029,Premium Monitor 28,Beauty,985.43,189,SUP-0020,2025-06-04
SKU-00030,Portable Novel 29,Clothing,582.05,489,SUP-0001,2025-05-17
SKU-00031,Modern Cereal 30,Electronics,369.12,46,SUP-0008,2025-08-30
SKU-00032,Deluxe Vitamin 31,,503.99,91,SUP-0005,2025-03-18
SKU-00033,Modern Novel 32,Clothing,239.17,398,SUP-0025,2025-07-31
SKU-00034,Smart Lamp 33,Home & Garden,322.73,240,SUP-0007,2025-06-11
SKU-00035,Deluxe Novel 34,Home & Garden,-96.03,89,SUP-0025,2025-11-09
SKU-00036,Vintage Novel 35,Toys,517.62,499,SUP-0020,2025-09-05
SKU-00037,Professional Ball 36,Toys,235.0,465,SUP-0010,2025-05-21
SKU-00038,Classic Drill 37,Food,153.26,378,SUP-0006,2025-12-23
SKU-00039,Wireless Vitamin 38,Tools,738.96,77,SUP-0007,2025-06-03
SKU-00040,Classic Novel 39,Clothing,128.07,60,SUP-0018,2025-03-13
SKU-00041,Modern Novel 40,Home & Garden,975.41,144,SUP-0010,2025-05-16
SKU-00042,Premium Robot 41,Home & Garden,196.0,414,SUP-0006,2025-02-10
SKU-00043,Classic Drill 42,Health,465.73,145,SUP-0004,2025-06-26
SKU-00044,Eco-Friendly Serum 43,Home & Garden,323.32,316,SUP-0023,2025-01-17
SKU-00045,Eco-Friendly Drill 44,Home & Garden,714.06,271,SUP-0008,2025-08-03
SKU-00046,Deluxe Robot 45,Toys,244.92,2,SUP-0009,2025-09-02
SKU-00047,Deluxe Novel 46,Home & Garden,972.2,99,SUP-0008,2025-11-02
SKU-00048,Premium Lamp 47,Tools,712.21,495,SUP-0002,2025-11-17
SKU-00049,Premium Ball 48,Toys,591.14,277,SUP-0003,2025-11-22
